12.90     636040 1514 1514 1514     635802 -217790670 -433692244 16037     -134      -56      636040 0.0097 0.0368  2.8061 0.0197 
13.00     636040 1514 1514 1514     636009 -217790698 -433692244 16101     -122      -51      636040 0.0097 0.0368  2.8061 0.0197 
13.10     636306 1514 1514 1514     636009 -217790698 -433692244 16101     -122      -51      636306 0.0104 0.0138  2.8172 0.0248 
13.20     636306 1514 1514 1514     636397 -217790724 -433692242 16164     -120      -44      636306 0.0104 0.0138  2.8172 0.0248 
13.30     636306 1514 1514 1514     636397 -217790724 -433692242 16164     -120      -44      636306 0.0104 0.0138  2.8172 0.0248 
13.40     636591 1514 1514 1514     636397 -217790724 -433692242 16164     -120      -44      636612 0.0099 -0.0085  2.8275 0.0100 
13.50     636591 1514 1514 1514     636397 -217790724 -433692242 16164     -120      -44      636612 0.0099 -0.0085  2.8275 0.0100 
13.60     636856 1514 1514 1514     636602 -217790751 -433692239 16210     -124      -36      636876 0.0109 -0.0185  2.8328 0.0030 
13.70     636856 1514 1514 1514     636602 -217790751 -433692239 16210     -124      -36      636876 0.0109 -0.0185  2.8328 0.0030 
13.80     636856 1514 1514 1514     636804 -217790781 -433692236 16240     -127      -29      636876 0.0109 -0.0185  2.8328 0.0030 
13.90     637145 1514 1514 1514     636804 -217790781 -433692236 16240     -127      -29      637165 0.0090 -0.0026  2.8373 0.0061 
14.00     637145 1514 1514 1514     637190 -217790810 -433692234 16263     -128      -24      637165 0.0090 -0.0026  2.8373 0.0061 
14.10     637145 1514 1514 1514     637190 -217790810 -433692234 16263     -128      -24      637165 0.0090 -0.0026  2.8373 0.0061 
14.20     637411 1514 1514 1514     637422 -217790836 -433692231 16283     -126      -20      637412 0.0085 0.0069  2.8410 0.0079 
14.30     637411 1514 1514 1514     637422 -217790836 -433692231 16283     -126      -20      637412 0.0085 0.0069  2.8410 0.0079 
14.40     637411 1514 1514 1514     637422 -217790836 -433692231 16283     -126      -20      637412 0.0085 0.0069  2.8410 0.0079 
14.50     637664 1514 1514 1514     637607 -217790866 -433692229 16294     -120      -17      637684 0.0065 0.0192  2.8435 0.0019 
